-31.69,2.70
-26.48,1.85
-18.57,1.45
-10.11,1.59
-17.83,1.37
-34.41,-0.07
-42.88,-1.91
-35.56,-4.56
155.41,5.85
53.66,8.90
63.19,12.38
59.78,15.36
41.43,17.13
-5.56,16.05
-47.27,12.61
-53.67,9.48
-65.67,6.18
-27.00,5.33
33.79,7.54
-62.77,4.41
49.22,7.21
62.19,10.27
24.77,11.22
-33.44,8.83
-57.83,5.51
-40.44,3.40
-67.06,0.24
-35.96,-0.92
28.50,1.25
-63.84,-1.62
46.57,1.31
61.46,4.43
32.19,6.00
-26.33,4.28
-59.49,0.92
-37.14,-0.84
-52.43,-2.98
-33.62,-3.61
5.26,-2.35
39.39,1.24
30.15,7.90
27.68,14.90
32.21,21.54
67.73,29.73
88.41,38.62
76.44,46.45
74.10,53.78
102.81,55.76
95.03,53.10
22.88,46.35
4.13,38.94
-0.53,32.07
-40.24,22.97
-35.59,14.99
-39.31,7.34
-43.61,5.18
-41.87,4.71
-43.43,5.39
-30.34,9.03
-18.65,13.06
-18.63,16.84
-11.71,20.99
58.07,28.36
70.15,36.01
77.18,43.67
121.74,51.93
134.12,51.22
101.25,48.43
-17.50,39.75
-22.61,31.19
-25.71,22.87
-43.66,13.98
-56.57,8.68
-46.22,11.16
-28.24,14.42
-16.83,18.06
1.19,22.43
20.38,27.57
51.07,34.30
97.78,42.71
93.62,50.97
79.82,57.87
48.03,58.32
39.98,59.04
63.97,60.84
44.25,59.07
17.90,53.38
-2.59,47.31
5.44,42.96
26.98,41.86
81.14,41.42
110.75,40.81
126.13,43.20
145.75,49.68
134.88,53.84
-67.66,42.07
19.18,35.19
179.63,41.56
27.57,43.71
14.69,43.56
-8.20,40.66
-39.65,36.31
-167.46,23.14
45.31,18.89
15.19,12.80
39.58,8.58
29.29,4.27
26.94,1.23
22.44,0.35
12.61,1.28
10.71,2.67
3.26,4.51
-2.32,8.96
-13.87,13.35
-9.57,17.47
2.87,22.00
136.00,33.36
149.72,44.95
153.38,56.24
112.74,59.51
69.67,54.84
-10.06,46.18
-7.11,37.84
7.03,31.12
23.81,25.16
28.23,24.92
10.98,29.72
-19.07,27.97
-15.06,21.84
18.38,16.52
33.78,15.15
14.78,13.57
-169.02,2.44
21.39,6.71
36.32,13.59
-6.50,17.85
3.98,22.41
-49.36,24.09
-155.48,19.50
166.63,32.58
152.80,44.15
163.38,44.88
151.28,44.83
-133.14,29.96
-83.15,18.37
-74.46,7.76
-42.99,-0.69
-144.05,-14.13
-146.23,-16.01
-50.69,-13.25
-46.21,-10.02
-3.75,-4.95
19.00,1.06
49.45,8.40
75.09,16.76
95.98,26.06
150.35,37.63
132.73,47.76
149.20,56.30
163.86,56.23
153.70,56.14
81.17,51.82
53.89,46.78
75.78,42.71
127.23,41.87
-49.01,31.78
-55.53,21.55
-33.25,13.20
0.11,13.95
-30.07,15.92
-55.77,17.10
-0.82,20.07
-176.04,12.21
5.56,16.69
4.12,21.28
11.33,25.55
4.88,29.68
-2.49,33.15
19.54,37.16
93.93,45.32
74.94,51.66
112.63,60.13
158.97,67.51
152.84,70.45
146.73,68.86
142.02,66.96
133.63,65.26
122.15,62.65
64.55,57.18
48.47,51.61
-36.45,41.33
-72.50,29.83
-54.61,20.68
-146.52,16.22
-36.90,18.49
-51.29,19.81
8.25,24.37
63.78,31.20
128.25,41.58
136.31,42.64
134.11,41.80
11.50,34.32
-55.39,24.15
-134.13,9.73
-139.70,2.75
-50.85,4.75
-26.74,7.87
102.21,17.65
-112.40,10.74
-118.17,-2.04
102.82,-2.48
39.41,-6.71
-64.45,-16.19
-134.13,-23.81
-134.13,-30.93
-58.55,-27.93
-52.01,-24.77
84.48,-14.54
-110.13,-16.87
-130.42,-26.34
-120.21,-36.35
86.81,-36.18
-73.75,-45.01
-50.79,-49.46
-134.13,-59.86
-58.17,-55.35
-62.40,-51.50
124.93,-37.87
-133.35,-38.56
-134.12,-44.84
-123.34,-55.43
47.88,-56.98
-55.69,-63.56
-134.13,-70.56
-134.13,-75.35
-52.12,-70.21
-30.73,-63.96
106.62,-50.69
-134.12,-52.72
-134.12,-60.05
101.37,-58.44
-4.13,-61.82
-134.13,-70.53
-134.13,-78.10
-46.42,-73.64
-54.58,-68.32
82.79,-55.74
-130.34,-55.25
-134.12,-60.67
-108.62,-68.81
55.43,-67.92
-37.03,-73.05
-134.13,-78.01
-134.13,-82.24
-43.10,-78.34
-37.11,-71.59
133.59,-56.45
-134.12,-59.79
-127.23,-68.00
70.18,-67.07
-14.90,-69.40
-134.13,-73.90
-134.13,-80.28
-134.36,-83.30
-38.86,-77.41
128.62,-61.89
-134.12,-63.27
-134.12,-69.99
-85.90,-77.42
25.66,-77.67
-35.20,-79.76
-134.13,-82.26
-134.22,-86.58
-53.31,-81.36
-71.03,-76.73
141.49,-64.06
-134.12,-70.15
-87.68,-76.39
37.18,-74.22
-22.02,-69.53
-30.64,-66.14
-25.50,-65.17
-10.43,-64.71
-3.17,-63.69
5.41,-63.05
-2.80,-63.69
161.61,-50.79
-17.63,-49.01
6.69,-46.08
-1.01,-43.57
8.77,-40.73
12.84,-37.69
4.20,-35.14
4.26,-32.61
4.58,-30.19
0.66,-28.12
0.55,-26.18
0.47,-24.28
0.59,-22.50
1.29,-20.71
2.40,-18.94
-0.55,-17.40
0.49,-15.87
-0.22,-14.46
-0.33,-13.12
-0.50,-11.84
0.35,-10.58
0.70,-9.34
0.33,-8.17
0.51,-7.05
0.69,-5.98
0.40,-4.97
0.38,-4.00
0.41,-3.08
0.76,-2.16
0.46,-1.36
0.53,-0.54
0.47,0.20
0.46,0.91
0.42,1.58
0.48,2.21
0.69,2.82
0.20,3.37
0.71,3.91
0.52,4.41
0.43,4.87
0.29,5.30
0.55,5.71
0.69,6.11
0.97,6.49
0.33,6.83
0.51,7.11
0.35,7.40
0.47,7.66
0.49,7.90
0.35,8.10
0.60,8.31
0.55,8.49
0.69,8.66
0.26,8.79
0.27,8.90
0.31,9.03
0.63,9.11
0.39,9.21
0.56,9.25
0.46,9.33
0.81,9.37
0.70,9.43
0.68,9.44
0.66,9.47
0.35,9.43
-0.01,9.42
1.11,9.41
0.68,9.40
3.51,9.56
3.39,9.66
-0.02,9.63
-1.63,9.45
-1.48,9.29
-0.65,9.14
0.29,9.06
0.69,8.97
0.21,8.88
0.35,8.76
0.76,8.69
0.50,8.57
0.64,8.48
0.22,8.36
0.45,8.25
0.61,8.13
0.54,8.02
0.81,7.92
0.50,7.80
0.61,7.68
0.38,7.55
0.17,7.41
0.73,7.30
0.47,7.19
0.52,7.06
0.79,6.95
0.81,6.84
0.69,6.73
0.71,6.61
1.03,6.51
0.66,6.39
0.42,6.26
0.27,6.12
-2.93,5.81
3.62,5.85
0.75,5.74
0.24,5.60
0.54,5.49
0.60,5.37
0.50,5.25
0.74,5.14
