4,-201
1256,88,15948,-481,-141,-194
1404,-172,15724,-497,-170,-213
1376,-164,15456,-508,-128,-221
1516,-88,15652,-465,-70,-213
1268,-192,15680,-451,-54,-194
1200,-188,15600,-459,-107,-212
1160,-144,15568,-458,-149,-205
1448,-144,15664,-485,-200,-187
1316,-128,15600,-450,-130,-218
1300,-84,15668,-437,-163,-204
1328,-96,15628,-480,-172,-199
1344,-144,15424,-512,-124,-239
1636,-112,15792,-479,-102,-237
1576,-156,15636,-455,-136,-170
1220,-116,15528,-498,-147,-240
1304,-132,15688,-489,-143,-195
1316,-100,15716,-472,-162,-224
1420,-200,15596,-459,-132,-216
1360,-212,15720,-478,-127,-211
1152,-212,15616,-494,-130,-189
1376,-168,15572,-488,-156,-233
1412,-256,15676,-502,-197,-209
1448,-132,15572,-467,-109,-194
1200,-52,15648,-487,-115,-217
1316,-152,15768,-487,-165,-209
1232,-144,15512,-479,-147,-203
1380,-100,15712,-478,-119,-199
1256,-124,15680,-505,-155,-196
1252,-44,15744,-468,-159,-194
1360,-132,15680,-478,-156,-206
1380,-60,15624,-478,-143,-222
1352,-100,15576,-486,-132,-194
1332,-108,15688,-470,-140,-217
1420,-180,15836,-456,-92,-218
1280,-92,15800,-481,-130,-198
1236,-120,15708,-474,-125,-199
1396,-216,15696,-484,-129,-205
1204,-240,15732,-467,-144,-230
1252,-40,15728,-483,-135,-206
1308,-140,15708,-504,-170,-220
1352,-80,15636,-471,-155,-209
1492,-196,15724,-505,-156,-221
1452,-124,15696,-505,-146,-204
1368,-164,15684,-489,-147,-195
1312,-124,15648,-521,-127,-207
1312,-132,15616,-477,-128,-206
1332,0,15832,-473,-159,-195
1332,-16,15684,-498,-130,-221
1248,-88,15684,-496,-149,-188
1376,-16,15580,-480,-172,-203
1208,-32,15660,-483,-128,-211
1288,-116,15508,-485,-145,-204
1280,-192,15812,-466,-119,-203
1396,-172,15616,-466,-118,-201
1248,-116,15592,-478,-152,-232
1148,-100,15536,-493,-155,-210
1368,-64,15624,-515,-143,-201
1384,-132,15696,-510,-157,-204
1292,-180,15656,-476,-154,-212
1308,-204,15644,-470,-147,-199
1284,-120,15716,-489,-121,-187
1260,-116,15772,-457,-138,-209
1296,-128,15764,-457,-127,-227
1292,-220,15600,-494,-144,-201
1380,-164,15832,-484,-138,-214
1308,-100,15764,-479,-152,-190
1256,-120,15508,-480,-122,-221
1280,-80,15660,-475,-139,-230
1264,-180,15592,-479,-131,-213
1400,-140,15740,-484,-146,-218
1320,-116,15724,-475,-151,-208
1188,-104,15636,-502,-157,-221
1240,-68,15756,-503,-106,-188
1372,-128,15620,-459,-114,-196
1272,-128,15712,-460,-111,-196
1204,-112,15648,-478,-124,-211
1316,-100,15744,-469,-149,-208
1344,-92,15524,-490,-147,-203
1324,-124,15676,-492,-157,-196
1248,-148,15708,-477,-154,-207
1360,-96,15632,-479,-132,-198
1340,-136,15736,-489,-138,-226
1204,-148,15560,-461,-138,-216
1324,-256,15744,-502,-162,-218
1336,-76,15780,-460,-154,-232
1204,-116,15744,-477,-180,-213
1260,-240,15684,-495,-131,-214
1336,-64,15792,-488,-148,-185
1324,-132,15828,-494,-146,-205
1408,-192,15524,-468,-125,-211
1300,-184,15628,-468,-130,-208
1332,-76,15712,-480,-117,-213
1372,-76,15668,-458,-144,-213
1408,-120,15612,-498,-144,-207
1244,-112,15600,-477,-147,-234
1256,-96,15616,-470,-143,-206
1280,-180,15744,-476,-127,-217
1332,-72,15748,-450,-169,-189
1360,-116,15812,-456,-148,-204
1288,-84,15500,-495,-134,-195
1212,-176,15632,-484,-137,-222
1392,-68,15720,-466,-117,-209
1336,-124,15676,-487,-125,-216
1308,-124,15716,-482,-134,-202
1200,-172,15628,-460,-150,-219
1328,-116,15820,-467,-130,-211
1176,-128,15760,-487,-154,-194
1324,-124,15664,-476,-122,-209
1320,-84,15608,-471,-134,-215
1348,-64,15468,-482,-117,-195
1304,-104,15652,-472,-151,-210
1208,-160,15588,-502,-152,-194
1400,-72,15684,-502,-77,-199
1448,-84,15616,-482,-149,-221
1372,-116,15820,-470,-148,-211
1336,-220,15716,-479,-139,-224
1108,-196,15756,-484,-138,-216
1304,-220,15680,-484,-131,-189
1304,-112,15812,-485,-133,-193
1352,-132,15724,-485,-115,-205
1312,-80,15796,-450,-120,-192
1372,-160,15784,-460,-109,-221
1260,-64,15692,-470,-115,-212
1420,-80,15688,-498,-129,-210
1240,-160,15652,-455,-142,-216
1364,-104,15620,-499,-125,-202
1308,-160,15756,-463,-164,-191
1348,-28,15596,-482,-165,-207
1332,-108,15620,-461,-120,-206
1484,-116,15668,-493,-147,-204
1304,-148,15784,-477,-123,-214
1296,-128,15772,-488,-132,-193
1244,-148,15728,-492,-157,-212
1452,-132,15656,-489,-146,-207
1272,-160,15540,-473,-134,-227
1392,-112,15636,-490,-130,-195
1340,-164,15532,-469,-130,-201
1212,-180,15724,-474,-122,-222
1284,-200,15700,-479,-136,-181
1352,-156,15716,-486,-147,-204
1304,-104,15700,-485,-122,-181
1364,-72,15648,-480,-161,-189
1128,-104,15704,-496,-159,-202
1372,-156,15668,-488,-139,-201
1436,-92,15668,-483,-155,-207
1144,-148,15648,-466,-150,-198
1412,-136,15580,-467,-98,-202
1452,-172,15800,-511,-128,-230
1424,-200,15680,-468,-101,-191
1332,-68,15768,-479,-139,-202
1312,-156,15700,-487,-136,-201
1332,-108,15880,-481,-128,-206
1284,-168,15576,-470,-159,-209
1336,-140,15680,-473,-143,-200
1288,-72,15576,-493,-148,-202
1420,-100,15672,-479,-142,-216
1336,-168,15576,-468,-107,-201
1304,-76,15564,-479,-125,-199
1316,-52,15624,-472,-126,-219
1388,-80,15780,-469,-124,-201
1336,-12,15644,-473,-143,-179
1316,-80,15684,-489,-140,-196
1272,-136,15524,-487,-124,-205
1268,-128,15612,-475,-147,-206
1296,-92,15648,-465,-148,-197
1276,-24,15652,-477,-153,-223
1336,-76,15608,-506,-140,-218
1428,-96,15688,-465,-123,-193
1264,-96,15716,-485,-97,-200
1304,-104,15656,-485,-154,-200
1220,-232,15600,-476,-159,-210
1360,-108,15668,-492,-137,-212
1360,-72,15664,-471,-127,-185
1392,-52,15588,-473,-134,-194
1228,-176,15600,-456,-144,-217
1260,-144,15616,-479,-154,-212
1392,-216,15632,-476,-143,-208
1276,-156,15696,-483,-149,-225
1172,-220,15660,-464,-122,-218
1092,-128,15644,-479,-140,-221
1280,-112,15744,-494,-125,-210
1356,-164,15664,-474,-128,-233
1348,8,15764,-480,-145,-184
1444,-128,15600,-478,-169,-208
1368,-112,15676,-464,-147,-231
1336,-64,15732,-471,-146,-208
1348,-136,15608,-506,-138,-209
1216,-100,15772,-502,-148,-209
1296,-116,15688,-488,-136,-205
1352,-144,15648,-474,-145,-197
1364,-132,15620,-478,-126,-207
1312,-152,15628,-472,-130,-221
1316,-88,15560,-457,-113,-212
1244,-140,15628,-473,-134,-207
1144,-112,15644,-472,-134,-204
1300,-100,15656,-505,-156,-224
1332,-116,15692,-498,-123,-204
1136,-88,15732,-466,-125,-229
